probe;nuc;act;frac;Passage;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p22;0,3576;0,4641;1,574;22;2707,967;192,691;39,171;199,306;39,709;242,271;103,299;33,378;171,559;0,58;3,095;0,323;0,94;Old
p22;0,3558;0,5678;1,6847;22;7841,755;66,765;100,745;78,551;88,615;471,188;185,593;53,797;62,637;0,444;3,45;0,29;0,851;Old
p22;0,3929;0,1298;1,7386;22;2918,968;59,287;194,019;58,49;194,461;244,453;98,958;37,557;88,543;0,614;2,635;0,38;0,914;Old
p22;0,4707;0,3942;1,6406;22;3336,98;92,705;177,444;92,312;175,989;346,832;144,733;29,356;86,303;0,349;4,93;0,203;0,823;Old
p22;0,3593;0,1296;1,8194;22;1786,571;155,219;39,417;153,499;40,16;190,672;80,22;28,356;87,469;0,618;2,829;0,353;0,938;Old
p22;0,4365;0,5768;1,7207;22;4241,718;159,052;102,303;155,636;109,327;509,066;238,477;22,647;64,246;0,206;10,53;0,095;0,894;Old
p22;0,3892;0,4045;1,6804;22;2940,658;103,677;50,192;106,131;55,312;267,83;114,085;32,819;112,537;0,515;3,476;0,288;0,938;Old
p22;0,3572;0,5547;1,7731;22;22992,904;134,603;135,819;139,126;135,527;703,169;199,141;147,008;72,986;0,584;1,355;0,738;0,805;Old
p22;0,5175;0,471;1,9329;22;2869,92;121,906;173,737;116,398;160,724;336,874;158,29;23,085;114,523;0,318;6,857;0,146;0,939;Old
p22;0,459;0,5085;1,6794;22;4878,481;95,199;197,838;92,977;200,851;404,801;165,991;37,421;24,989;0,374;4,436;0,225;0,686;Old
p22;0,4183;0,6638;1,6013;22;7925,45;196,102;154,944;194,597;157,804;491,294;181,434;55,618;64,957;0,413;3,262;0,307;0,766;Old
p22;0,3525;0,5496;1,6368;22;7182,376;158,083;56,96;155,554;53,454;412,71;112,169;81,528;41,437;0,53;1,376;0,727;0,787;Old
p22;0,4204;0,6121;1,7751;22;3123,376;73,1;122,608;76,647;121,93;319,665;128,593;30,925;63,419;0,384;4,158;0,24;0,816;Old
p22;0,354;0,5457;1,7323;22;2536,008;74,111;36,067;69,19;35,922;240,799;104,416;30,924;161,673;0,55;3,377;0,296;0,891;Old
p22;0,4051;0,4639;1,6822;22;3811,212;38,245;82,468;36,411;75,85;315,206;116,989;41,479;90,731;0,482;2,82;0,355;0,842;Old
p23;0,3419;0,4238;1,9087;23;3874,027;185,403;104,228;182,751;101,447;346,73;150,449;32,786;88,189;0,405;4,589;0,218;0,971;Old
p23;0,3842;0,1665;1,9363;23;3457,924;118,083;108,973;117,718;109,158;260,101;104,837;41,996;8,349;0,642;2,496;0,401;0,955;Old
p23;0,3552;0,4556;1,9409;23;5319,456;70,409;75,004;61,881;90,262;360,903;161,27;41,997;53;0,513;3,84;0,26;0,934;Old
p23;0,3127;0,5128;1,9268;23;7873,972;188,89;119,221;186,623;120,827;487,916;198,246;50,571;97,537;0,416;3,92;0,255;0,85;Old
p23;0,2441;0,2065;1,9262;23;10522,306;97,294;65,257;94,323;62,451;492,382;181,282;73,904;129,265;0,545;2,453;0,408;0,952;Old
p23;0,2769;0,1599;1,9417;23;9900,06;79,539;129,906;70,975;121,139;542,417;254,381;49,552;130,304;0,423;5,134;0,195;0,934;Old
p23;0,4059;-0,0881;1,8116;23;2872,291;122,092;207,075;125,734;201,727;269,801;102,131;35,808;50,112;0,496;2,852;0,351;0,927;Old
p23;0,4274;0,1915;1,8431;23;3797,851;149,806;112,481;154,359;106,358;332,793;135,33;35,732;58,709;0,431;3,787;0,264;0,894;Old
p23;0,37;0,0532;1,7643;23;3817,633;84,586;52,936;84,462;52,655;321,642;137,286;35,406;5,055;0,464;3,877;0,258;0,931;Old
p23;0,2611;0,3883;1,521;23;4145,992;83,919;26,488;72,423;25,733;358,468;151,775;34,781;174,006;0,405;4,364;0,229;0,829;Old
